"## START OF USER TABLE ##"
search_term,id,previous_kases,start_kases,case_id,lien_filed,special_instructions,case_description,injury_number,uuid,case_number,file_number,cpointer,source,adj_number,rating,injury_type,sub_in,main_injury_type,case_date,terminated_date,case_type,medical,td,rehab,edd,claims,venue_uuid,venue,venue_street,venue_suite,venue_city,venue_zip,venue_abbr,case_status,case_substatus,case_subsubstatus,submittedon,supervising_attorney,attorney,supervising_attorney_name,supervising_attorney_full_name,worker,interpreter_needed,case_language,applicant_id,applicant_uuid,applicant_salutation,first_name,last_name,full_name,language,dob,app_dob,ssn,applicant_email,applicant_phone,applicant_full_address,employer_id,employer_uuid,employer,employer_full_address,employer_suite,defendant_id,defendant_uuid,defendant,defendant_full_address,plaintiff_id,plaintiff_uuid,plaintiff,plaintiff_full_address,start_date,statute_limitation,end_date,ct_dates_note,occupation,name,case_name,attorney_id,user_id,attorney_name,attorney_full_name,worker_name,worker_full_name,lien_id,settlement_id,fee_id,referring_id,referring_uuid,referring,referring_full_address,referring_search,jetfile_id,personal_injury_date,closed_date
,3573,-1,1201,3509,N,,,1,KS55281bf21fc09,WC1132,,0,,,,,N,,04/10/15,00/00/00,WCAB,,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,Open,,,"2015-04-10 11:52:34",3,,TS,"Thomas Smith",2,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,2,,,NG,"Nick Giszpenc",-1,-1,-1,-1,,,,,-1,,
,3861,-1,1201,3836,N,,,1,KS5552603e77024,WC1139,,0,,,,,N,,05/12/15,00/00/00,WCAB,,,,,,KS538cb2585fe3d,Oxnard,"1901 N. Rice Ave.","Suite 200",Oxnard,93030,OXN,Active,,,"2015-05-12 13:19:10",,,,,10,Y,English,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,10,,,AA,"Alicia Â Armas",-1,-1,-1,-1,,,,,-1,,
,5892,-1,1201,6210,N,,,1,KS55b980000888c,WC1162,,0,,,,,N,,07/29/15,00/00/00,WCAB,,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,,,,"2015-07-29 18:38:08",3,8,TS,"Thomas Smith",6,N,English,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,8,6,av,"arturo valero",merc,"Mercedes Uribe",-1,-1,-1,-1,,,,,-1,,
,5905,-1,1201,6221,N,,,1,KS55ba7baf26a04,WC1172,,0,,,,,N,,07/30/15,00/00/00,WCAB,,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,,,,"2015-07-30 12:31:59",6,3,merc,"Mercedes Uribe",2,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,3,2,TS,"Thomas Smith",NG,"Nick Giszpenc",-1,-1,-1,-1,,,,,-1,,
,5907,-1,1201,6223,N,,,1,KS55ba7f5482edb,WC1173,,0,,,,,N,,07/30/15,00/00/00,WCAB,,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,,,,"2015-07-30 12:47:32",13,3,KRP,"K R. Payman",6,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,3,6,TS,"Thomas Smith",merc,"Mercedes Uribe",-1,-1,-1,-1,,,,,-1,,
,5963,-1,1201,6280,N,,,1,KS55d2105180062,WC1188,,0,,,,,N,,08/17/15,00/00/00,WCAB,,,,,,KS538cb2585f9c2,"Marina del Rey","4720 Lincoln Blvd ","2nd floor","Marina del Rey",90292,MDR,,,,"2015-08-17 09:48:17",,,,,2,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,2,,,NG,"Nick Giszpenc",-1,-1,-1,-1,,,,,-1,,
,6199,-1,1201,6517,N,,,1,KS5616cbd63f36a,WC1193,,0,,,,,N,,10/08/15,00/00/00,WCAB,,,,,,KS538cb2585f555,"Long Beach","300 Oceangate Street","Suite 200","Long Beach",90802,LBO,Open,,,"2015-10-08 13:02:30",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,
,6222,-1,1201,6534,N,,,1,KS56212806d5b61,WC1198,,WC1198,,,,,N,,10/16/15,00/00/00,WCAB,,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,Open,,,"2015-10-16 09:38:30",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,
,6225,-1,1201,6537,N,,,1,KS562287274f20d,WC1199,,WC1199,,,,,N,,10/17/15,00/00/00,WCAB,,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,Open,,,"2015-10-17 10:36:39",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,"2017-01-09 12:11:12"
,6231,-1,1201,6541,N,,,1,KS562eab61a1af5,WC1200,,WC1200,,,,,N,,10/26/15,00/00/00,WCAB,,,,,,KS538cb2585eeb9,Bakersfield,"1800 30th Street ","Suite 100",Bakersfield,93301,BAK,Open,,,"2015-10-26 15:38:25",2,,NG,"Nick Giszpenc",3,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,3,,,TS,"Thomas Smith",-1,-1,-1,-1,,,,,-1,,
,6232,-1,1201,6542,N,,,1,KS562eb09c6f4fb,WC1201,,WC1201,,,,,N,,10/26/15,00/00/00,WCAB,,,,,,KS538cb2585eeb9,Bakersfield,"1800 30th Street ","Suite 100",Bakersfield,93301,BAK,Open,,,"2015-10-26 16:00:44",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,
,6256,-1,1201,6563,N,,,1,KS56819077bcebf,WC1207,,WC1207,,,,,N,,12/28/15,00/00/00,"Personal Injury",,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,Open,,,"2015-12-28 11:41:43",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,
,6276,-1,1201,6580,N,,,1,KS56cdd35b73273,WC1212,,WC1212,,,,,N,,02/24/16,00/00/00,WCAB,,,,,,KS538cb2585ec51,Anaheim,"1065 N. PacifiCenter Dr.",,Anaheim,92806,AHM,Open,,,"2016-02-24 07:59:23",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,
,6277,-1,1201,6581,N,,,1,KS56ce2a1239e74,WC1213,,WC1213,,,,,N,,02/24/16,00/00/00,WCAB,,,,,,KS538cb2585eeb9,Bakersfield,"1800 30th Street ","Suite 100",Bakersfield,93301,BAK,Open,,,"2016-02-24 14:09:22",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,
,6278,-1,1201,6582,N,,,1,KS56ce2a215189c,WC1214,,WC1214,,,,,N,,02/24/16,00/00/00,NewPI,,,,,,KS538cb2585eeb9,Bakersfield,"1800 30th Street ","Suite 100",Bakersfield,93301,BAK,Open,,,"2016-02-24 14:09:37",,,,,,N,,,,,,,,,,,,,,,-1,,,,,-1,,,,-1,,,,00/00/00,00/00/00,00/00/00,,,,,,,,,,,-1,-1,-1,-1,,,,,-1,,
